iter	MultiClass
0	1.309452367
1	1.251060578
2	1.204889385
3	1.16654987
4	1.13464035
5	1.108235087
6	1.08584841
7	1.067029707
8	1.050372691
9	1.036215382
10	1.024233848
11	1.01362898
12	1.004011926
13	0.9957213912
14	0.9882863969
15	0.9820854101
16	0.9763669434
17	0.9711827317
18	0.9668143993
19	0.9625979617
20	0.9588741096
21	0.9558825012
22	0.9528896101
23	0.9501250717
24	0.9477902576
25	0.9455670936
26	0.9437164241
27	0.9419686553
28	0.9405858299
29	0.9394182402
30	0.9378942624
31	0.9367372542
32	0.9354573529
33	0.9345474569
34	0.9331895642
35	0.9320283831
36	0.9309503906
37	0.9299932758
38	0.9292359646
39	0.9286479954
40	0.9278818689
41	0.9271828679
42	0.9267184749
43	0.926201571
44	0.9255654113
45	0.9252022294
46	0.9248549554
47	0.9243020002
48	0.9238700403
49	0.9235806056
