iter	Passed	Remaining
0	29	1466
1	60	1440
2	93	1457
3	124	1430
4	157	1413
5	187	1373
6	223	1374
7	257	1350
8	287	1311
9	318	1275
10	349	1238
11	378	1198
12	411	1169
13	440	1133
14	470	1098
15	504	1071
16	533	1035
17	563	1001
18	595	971
19	628	942
20	659	910
21	687	874
22	715	839
23	748	810
24	778	778
25	806	744
26	839	714
27	869	683
28	895	648
29	927	618
30	957	586
31	988	556
32	1020	525
33	1046	492
34	1075	461
35	1109	431
36	1141	400
37	1251	395
38	1288	363
39	1320	330
40	1351	296
41	1386	264
42	1417	230
43	1445	197
44	1473	163
45	1500	130
46	1531	97
47	1565	65
48	1601	32
49	1635	0
